building_name,building_irn,school_year,enrollment,value_added_composite,performance_index_score
Euclid Park Elementary School,010801,2022-2023,298,1.88,59.4
Facing History High School@Charles Mooney,012355,2020-2021,228,NA,46.115
Facing History High School@Charles Mooney,012355,2021-2022,212,1.11,59.4
Facing History High School@Charles Mooney,012355,2022-2023,153,0.92,55.4
Franklin D. Roosevelt,021543,2020-2021,456,NA,30.952
Franklin D. Roosevelt,021543,2021-2022,467,-0.33,37
Franklin D. Roosevelt,021543,2022-2023,416,-1.08,35.8
Garfield Elementary School,012898,2020-2021,587,NA,51.412
Garfield Elementary School,012898,2021-2022,582,4.63,67.2
Garfield Elementary School,012898,2022-2023,570,3.89,67.4
Garrett Morgan School of Engineering & Innovation,063461,2020-2021,278,NA,43.3
Garrett Morgan School of Engineering & Innovation,063461,2021-2022,361,-1.03,52.9
Garrett Morgan School of Engineering & Innovation,063461,2022-2023,411,3.13,61.9
Garrett Morgan School of Leadership and Innovation,019194,2020-2021,127,NA,53
Garrett Morgan School of Leadership and Innovation,019194,2021-2022,269,-1.62,62
Garrett Morgan School of Leadership and Innovation,019194,2022-2023,340,0.71,52.3
George Washington Carver,013292,2020-2021,360,NA,28.126
George Washington Carver,013292,2021-2022,374,1.24,39.8
George Washington Carver,013292,2022-2023,379,2.07,42.4
Ginn Academy,009421,2020-2021,324,NA,36.009
Ginn Academy,009421,2021-2022,311,-2.78,41.2
Ginn Academy,009421,2022-2023,327,-5.31,47.1
Glenville High School,013680,2020-2021,537,NA,29.954
Glenville High School,013680,2021-2022,512,-1.54,41.8
Glenville High School,013680,2022-2023,414,-4.37,44
Halle,013847,2020-2021,361,NA,36.242
Halle,013847,2021-2022,419,-2.97,40.2
Halle,013847,2022-2023,486,-1.39,41.7
Hannah Gibbons-Nottingham Elementary School,015073,2020-2021,238,NA,37.395
Hannah Gibbons-Nottingham Elementary School,015073,2021-2022,249,-0.24,45.6
Hannah Gibbons-Nottingham Elementary School,015073,2022-2023,249,-0.99,46.1
Harvey Rice Elementary School,015578,2020-2021,452,NA,30.475
Harvey Rice Elementary School,015578,2021-2022,428,0.53,38.9
Harvey Rice Elementary School,015578,2022-2023,470,-0.85,40.3
Hope Academy Northwest Campus,000575,2020-2021,189,NA,55.357
